cavity_id,group_id,local_member_id,symmetry_operation,x,y,z,normal_x,normal_y,normal_z,streamwise_x,streamwise_y,streamwise_z,rotation_angle,accepted,rejection_reason,nearest_face_distance_mm
45,7,3,C3v_mirror_0deg,1808.483885,456.713781,394.041951,-0.212890,0.000000,0.977076,0.977076,0.000000,0.212890,12.291794,yes,,0.000000
46,7,4,C3v_mirror_120deg,1786.499673,443.723400,389.251915,-0.212890,0.000000,0.977076,0.977076,0.000000,0.212890,12.291794,yes,,0.000000
47,7,5,C3v_mirror_240deg,1786.499673,469.704162,389.251915,-0.212890,0.000000,0.977076,0.977076,0.000000,0.212890,12.291794,yes,,0.000000
48,8,0,C3v_rot_0deg,2044.287613,521.958607,445.420103,-0.212890,0.000000,0.977076,0.977076,0.000000,0.212890,12.291794,yes,,0.000000
49,8,1,C3v_rot_120deg,2022.303401,534.948988,440.630068,-0.212890,0.000000,0.977076,0.977076,0.000000,0.212890,12.291794,yes,,0.000000
50,8,2,C3v_rot_240deg,2022.303401,508.968226,440.630068,-0.212890,0.000000,0.977076,0.977076,0.000000,0.212890,12.291794,yes,,0.000000
51,8,3,C3v_mirror_0deg,2044.287613,521.958607,445.420103,-0.212890,0.000000,0.977076,0.977076,0.000000,0.212890,12.291794,yes,,0.000000
52,8,4,C3v_mirror_120deg,2022.303401,508.968226,440.630068,-0.212890,0.000000,0.977076,0.977076,0.000000,0.212890,12.291794,yes,,0.000000
53,8,5,C3v_mirror_240deg,2022.303401,534.948988,440.630068,-0.212890,0.000000,0.977076,0.977076,0.000000,0.212890,12.291794,yes,,0.000000
54,9,0,C3v_rot_0deg,2280.091341,587.203433,496.798256,-0.212890,0.000000,0.977076,0.977076,0.000000,0.212890,12.291794,yes,,0.000000
55,9,1,C3v_rot_120deg,2258.107129,600.193814,492.008220,-0.212890,0.000000,0.977076,0.977076,0.000000,0.212890,12.291794,yes,,0.000000
56,9,2,C3v_rot_240deg,2258.107129,574.213052,492.008220,-0.212890,0.000000,0.977076,0.977076,0.000000,0.212890,12.291794,yes,,0.000000
57,9,3,C3v_mirror_0deg,2280.091341,587.203433,496.798256,-0.212890,0.000000,0.977076,0.977076,0.000000,0.212890,12.291794,yes,,0.000000
58,9,4,C3v_mirror_120deg,2258.107129,574.213052,492.008220,-0.212890,0.000000,0.977076,0.977076,0.000000,0.212890,12.291794,yes,,0.000000
59,9,5,C3v_mirror_240deg,2258.107129,600.193814,492.008220,-0.212890,0.000000,0.977076,0.977076,0.000000,0.212890,12.291794,yes,,0.000000
60,10,0,C3v_rot_0deg,2515.895069,652.448258,548.176408,-0.212890,0.000000,0.977076,0.977076,0.000000,0.212890,12.291794,yes,,0.000000
61,10,1,C3v_rot_120deg,2493.910857,665.438639,543.386373,-0.212890,0.000000,0.977076,0.977076,0.000000,0.212890,12.291794,yes,,0.000000
62,10,2,C3v_rot_240deg,2493.910857,639.457877,543.386373,-0.212890,0.000000,0.977076,0.977076,0.000000,0.212890,12.291794,yes,,0.000000
63,10,3,C3v_mirror_0deg,2515.895069,652.448258,548.176408,-0.212890,0.000000,0.977076,0.977076,0.000000,0.212890,12.291794,yes,,0.000000
64,10,4,C3v_mirror_120deg,2493.910857,639.457877,543.386373,-0.212890,0.000000,0.977076,0.977076,0.000000,0.212890,12.291794,yes,,0.000000
65,10,5,C3v_mirror_240deg,2493.910857,665.438639,543.386373,-0.212890,0.000000,0.977076,0.977076,0.000000,0.212890,12.291794,yes,,0.000000
66,11,0,C3v_rot_0deg,2751.698797,717.693084,599.554561,-0.212890,0.000000,0.977076,0.977076,0.000000,0.212890,12.291794,yes,,0.000000
67,11,1,C3v_rot_120deg,2729.714586,730.683465,594.764525,-0.212890,0.000000,0.977076,0.977076,0.000000,0.212890,12.291794,yes,,0.000000
68,11,2,C3v_rot_240deg,2729.714586,704.702703,594.764525,-0.212890,0.000000,0.977076,0.977076,0.000000,0.212890,12.291794,yes,,0.000000
69,11,3,C3v_mirror_0deg,2751.698797,717.693084,599.554561,-0.212890,0.000000,0.977076,0.977076,0.000000,0.212890,12.291794,yes,,0.000000
70,11,4,C3v_mirror_120deg,2729.714586,704.702703,594.764525,-0.212890,0.000000,0.977076,0.977076,0.000000,0.212890,12.291794,yes,,0.000000
71,11,5,C3v_mirror_240deg,2729.714586,730.683465,594.764525,-0.212890,0.000000,0.977076,0.977076,0.000000,0.212890,12.291794,yes,,0.000000
72,12,0,C3v_rot_0deg,2987.502525,782.937910,650.932713,-0.212890,0.000000,0.977076,0.977076,0.000000,0.212890,12.291794,yes,,0.000000
73,12,1,C3v_rot_120deg,2965.518314,795.928291,646.142678,-0.212890,0.000000,0.977076,0.977076,0.000000,0.212890,12.291794,yes,,0.000000
74,12,2,C3v_rot_240deg,2965.518314,769.947529,646.142678,-0.212890,0.000000,0.977076,0.977076,0.000000,0.212890,12.291794,yes,,0.000000
75,12,3,C3v_mirror_0deg,2987.502525,782.937910,650.932713,-0.212890,0.000000,0.977076,0.977076,0.000000,0.212890,12.291794,yes,,0.000000
76,12,4,C3v_mirror_120deg,2965.518314,769.947529,646.142678,-0.212890,0.000000,0.977076,0.977076,0.000000,0.212890,12.291794,yes,,0.000000
77,12,5,C3v_mirror_240deg,2965.518314,795.928291,646.142678,-0.212890,0.000000,0.977076,0.977076,0.000000,0.212890,12.291794,yes,,0.000000
78,13,0,C3v_rot_0deg,3223.306253,848.182736,702.310866,-0.212890,0.000000,0.977076,0.977076,0.000000,0.212890,12.291794,yes,,0.000000
79,13,1,C3v_rot_120deg,3201.322042,861.173117,697.520830,-0.212890,0.000000,0.977076,0.977076,0.000000,0.212890,12.291794,yes,,0.000000
80,13,2,C3v_rot_240deg,3201.322042,835.192355,697.520830,-0.212890,0.000000,0.977076,0.977076,0.000000,0.212890,12.291794,yes,,0.000000
81,13,3,C3v_mirror_0deg,3223.306253,848.182736,702.310866,-0.212890,0.000000,0.977076,0.977076,0.000000,0.212890,12.291794,yes,,0.000000
82,13,4,C3v_mirror_120deg,3201.322042,835.192355,697.520830,-0.212890,0.000000,0.977076,0.977076,0.000000,0.212890,12.291794,yes,,0.000000
83,13,5,C3v_mirror_240deg,3201.322042,861.173117,697.520830,-0.212890,0.000000,0.977076,0.977076,0.000000,0.212890,12.291794,yes,,0.000000
84,14,0,C3v_rot_0deg,3459.109981,913.427562,753.689018,-0.212890,0.000000,0.977076,0.977076,0.000000,0.212890,12.291794,yes,,0.000000
85,14,1,C3v_rot_120deg,3437.125770,926.417943,748.898983,-0.212890,0.000000,0.977076,0.977076,0.000000,0.212890,12.291794,yes,,0.000000
86,14,2,C3v_rot_240deg,3437.125770,900.437181,748.898983,-0.212890,0.000000,0.977076,0.977076,0.000000,0.212890,12.291794,yes,,0.000000
87,14,3,C3v_mirror_0deg,3459.109981,913.427562,753.689018,-0.212890,0.000000,0.977076,0.977076,0.000000,0.212890,12.291794,yes,,0.000000
88,14,4,C3v_mirror_120deg,3437.125770,900.437181,748.898983,-0.212890,0.000000,0.977076,0.977076,0.000000,0.212890,12.291794,yes,,0.000000
89,14,5,C3v_mirror_240deg,3437.125770,926.417943,748.898983,-0.212890,0.000000,0.977076,0.977076,0.000000,0.212890,12.291794,yes,,0.000000
90,15,0,C3v_rot_0deg,3694.913709,978.672388,805.067171,-0.212890,0.000000,0.977076,0.977076,0.000000,0.212890,12.291794,yes,,0.000000
91,15,1,C3v_rot_120deg,3672.929498,991.662769,800.277136,-0.212890,0.000000,0.977076,0.977076,0.000000,0.212890,12.291794,yes,,0.000000
92,15,2,C3v_rot_240deg,3672.929498,965.682007,800.277136,-0.212890,0.000000,0.977076,0.977076,0.000000,0.212890,12.291794,yes,,0.000000
93,15,3,C3v_mirror_0deg,3694.913709,978.672388,805.067171,-0.212890,0.000000,0.977076,0.977076,0.000000,0.212890,12.291794,yes,,0.000000
94,15,4,C3v_mirror_120deg,3672.929498,965.682007,800.277136,-0.212890,0.000000,0.977076,0.977076,0.000000,0.212890,12.291794,yes,,0.000000
95,15,5,C3v_mirror_240deg,3672.929498,991.662769,800.277136,-0.212890,0.000000,0.977076,0.977076,0.000000,0.212890,12.291794,yes,,0.000000
96,16,0,C3v_rot_0deg,3930.717437,1043.917213,856.445323,-0.212890,0.000000,0.977076,0.977076,0.000000,0.212890,12.291794,yes,,0.000000
97,16,1,C3v_rot_120deg,3908.733226,1056.907594,851.655288,-0.212890,0.000000,0.977076,0.977076,0.000000,0.212890,12.291794,yes,,0.000000
98,16,2,C3v_rot_240deg,3908.733226,1030.926832,851.655288,-0.212890,0.000000,0.977076,0.977076,0.000000,0.212890,12.291794,yes,,0.000000
99,16,3,C3v_mirror_0deg,3930.717437,1043.917213,856.445323,-0.212890,0.000000,0.977076,0.977076,0.000000,0.212890,12.291794,yes,,0.000000
100,16,4,C3v_mirror_120deg,3908.733226,1030.926832,851.655288,-0.212890,0.000000,0.977076,0.977076,0.000000,0.212890,12.291794,yes,,0.000000
101,16,5,C3v_mirror_240deg,3908.733226,1056.907594,851.655288,-0.212890,0.000000,0.977076,0.977076,0.000000,0.212890,12.291794,yes,,0.000000
102,17,0,C3v_rot_0deg,4166.521165,1109.162039,907.823476,-0.212890,0.000000,0.977076,0.977076,0.000000,0.212890,12.291794,yes,,0.000000
103,17,1,C3v_rot_120deg,4144.536954,1122.152420,903.033441,-0.212890,0.000000,0.977076,0.977076,0.000000,0.212890,12.291794,yes,,0.000000
104,17,2,C3v_rot_240deg,4144.536954,1096.171658,903.033441,-0.212890,0.000000,0.977076,0.977076,0.000000,0.212890,12.291794,yes,,0.000000
105,17,3,C3v_mirror_0deg,4166.521165,1109.162039,907.823476,-0.212890,0.000000,0.977076,0.977076,0.000000,0.212890,12.291794,yes,,0.000000
