cavity_id,group_id,local_member_id,symmetry_operation,x,y,z,normal_x,normal_y,normal_z,streamwise_x,streamwise_y,streamwise_z,rotation_angle,accepted,rejection_reason,nearest_face_distance_mm
85,21,1,C4_rot_90deg,22929.548810,2024.550104,1870.010474,0.073993,0.000000,0.997259,0.997259,0.000000,-0.073993,4.243349,yes,,0.000000
86,21,2,C4_rot_180deg,22909.603634,2004.550104,1871.490329,0.073993,0.000000,0.997259,0.997259,0.000000,-0.073993,4.243349,yes,,0.000000
87,21,3,C4_rot_270deg,22929.548810,1984.550104,1870.010474,0.073993,0.000000,0.997259,0.997259,0.000000,-0.073993,4.243349,yes,,0.000000
88,22,0,C4_rot_0deg,23248.671620,2004.550104,1846.332802,0.073993,0.000000,0.997259,0.997259,0.000000,-0.073993,4.243349,yes,,0.000000
89,22,1,C4_rot_90deg,23228.726444,2024.550104,1847.812657,0.073993,0.000000,0.997259,0.997259,0.000000,-0.073993,4.243349,yes,,0.000000
90,22,2,C4_rot_180deg,23208.781268,2004.550104,1849.292511,0.073993,0.000000,0.997259,0.997259,0.000000,-0.073993,4.243349,yes,,0.000000
91,22,3,C4_rot_270deg,23228.726444,1984.550104,1847.812657,0.073993,0.000000,0.997259,0.997259,0.000000,-0.073993,4.243349,yes,,0.000000
92,23,0,C4_rot_0deg,23547.849254,2004.550104,1824.134985,0.073993,0.000000,0.997259,0.997259,0.000000,-0.073993,4.243349,yes,,0.000000
93,23,1,C4_rot_90deg,23527.904078,2024.550104,1825.614840,0.073993,0.000000,0.997259,0.997259,0.000000,-0.073993,4.243349,yes,,0.000000
94,23,2,C4_rot_180deg,23507.958903,2004.550104,1827.094694,0.073993,0.000000,0.997259,0.997259,0.000000,-0.073993,4.243349,yes,,0.000000
95,23,3,C4_rot_270deg,23527.904078,1984.550104,1825.614840,0.073993,0.000000,0.997259,0.997259,0.000000,-0.073993,4.243349,yes,,0.000000
96,24,0,C4_rot_0deg,23847.026888,2004.550104,1801.937168,0.073993,0.000000,0.997259,0.997259,0.000000,-0.073993,4.243349,yes,,0.000000
97,24,1,C4_rot_90deg,23827.081713,2024.550104,1803.417023,0.073993,0.000000,0.997259,0.997259,0.000000,-0.073993,4.243349,yes,,0.000000
98,24,2,C4_rot_180deg,23807.136537,2004.550104,1804.896877,0.073993,0.000000,0.997259,0.997259,0.000000,-0.073993,4.243349,yes,,0.000000
99,24,3,C4_rot_270deg,23827.081713,1984.550104,1803.417023,0.073993,0.000000,0.997259,0.997259,0.000000,-0.073993,4.243349,yes,,0.000000
100,25,0,C4_rot_0deg,24146.204523,2004.550104,1779.739351,0.073993,0.000000,0.997259,0.997259,0.000000,-0.073993,4.243349,yes,,0.000000
101,25,1,C4_rot_90deg,24126.259347,2024.550104,1781.219206,0.073993,0.000000,0.997259,0.997259,0.000000,-0.073993,4.243349,yes,,0.000000
102,25,2,C4_rot_180deg,24106.314172,2004.550104,1782.699060,0.073993,0.000000,0.997259,0.997259,0.000000,-0.073993,4.243349,yes,,0.000000
103,25,3,C4_rot_270deg,24126.259347,1984.550104,1781.219206,0.073993,0.000000,0.997259,0.997259,0.000000,-0.073993,4.243349,yes,,0.000000
104,26,0,C4_rot_0deg,24445.382157,2004.550104,1757.541534,0.073993,0.000000,0.997259,0.997259,0.000000,-0.073993,4.243349,yes,,0.000000
105,26,1,C4_rot_90deg,24425.436982,2024.550104,1759.021388,0.073993,0.000000,0.997259,0.997259,0.000000,-0.073993,4.243349,yes,,0.000000
106,26,2,C4_rot_180deg,24405.491806,2004.550104,1760.501243,0.073993,0.000000,0.997259,0.997259,0.000000,-0.073993,4.243349,yes,,0.000000
107,26,3,C4_rot_270deg,24425.436982,1984.550104,1759.021388,0.073993,0.000000,0.997259,0.997259,0.000000,-0.073993,4.243349,yes,,0.000000
108,27,0,C4_rot_0deg,24744.559792,2004.550104,1735.343717,0.073993,0.000000,0.997259,0.997259,0.000000,-0.073993,4.243349,yes,,0.000000
109,27,1,C4_rot_90deg,24724.614616,2024.550104,1736.823571,0.073993,0.000000,0.997259,0.997259,0.000000,-0.073993,4.243349,yes,,0.000000
110,27,2,C4_rot_180deg,24704.669440,2004.550104,1738.303426,0.073993,0.000000,0.997259,0.997259,0.000000,-0.073993,4.243349,yes,,0.000000
111,27,3,C4_rot_270deg,24724.614616,1984.550104,1736.823571,0.073993,0.000000,0.997259,0.997259,0.000000,-0.073993,4.243349,yes,,0.000000
112,28,0,C4_rot_0deg,25043.737426,2004.550104,1713.145900,0.073993,0.000000,0.997259,0.997259,0.000000,-0.073993,4.243349,yes,,0.000000
113,28,1,C4_rot_90deg,25023.792250,2024.550104,1714.625754,0.073993,0.000000,0.997259,0.997259,0.000000,-0.073993,4.243349,yes,,0.000000
114,28,2,C4_rot_180deg,25003.847075,2004.550104,1716.105609,0.073993,0.000000,0.997259,0.997259,0.000000,-0.073993,4.243349,yes,,0.000000
115,28,3,C4_rot_270deg,25023.792250,1984.550104,1714.625754,0.073993,0.000000,0.997259,0.997259,0.000000,-0.073993,4.243349,yes,,0.000000
116,29,0,C4_rot_0deg,25342.915060,2004.550104,1690.948083,0.073993,0.000000,0.997259,0.997259,0.000000,-0.073993,4.243349,yes,,0.000000
117,29,1,C4_rot_90deg,25322.969885,2024.550104,1692.427937,0.073993,0.000000,0.997259,0.997259,0.000000,-0.073993,4.243349,yes,,0.000000
118,29,2,C4_rot_180deg,25303.024709,2004.550104,1693.907792,0.073993,0.000000,0.997259,0.997259,0.000000,-0.073993,4.243349,yes,,0.000000
119,29,3,C4_rot_270deg,25322.969885,1984.550104,1692.427937,0.073993,0.000000,0.997259,0.997259,0.000000,-0.073993,4.243349,yes,,0.000000
120,30,0,C4_rot_0deg,25642.092695,2004.550104,1668.750265,0.073993,0.000000,0.997259,0.997259,0.000000,-0.073993,4.243349,yes,,0.000000
121,30,1,C4_rot_90deg,25622.147519,2024.550104,1670.230120,0.073993,0.000000,0.997259,0.997259,0.000000,-0.073993,4.243349,yes,,0.000000
